ADX	-1.3023436069488523
A	19.54200267791748
MO	4.8506736755371085
AEH	-2.6829183101654053
AIN	0.17232894897460938
AEM	26.09020471572876
ARE	6.59947395324707
AEL	10.173016786575316
NOW	24.336016178131104
AKR	-4.098290205001831
AEO	-18.58205795288086
AFC	5.3212761878967285
ALG	7.223188877105713
ACH	-28.442496061325073
ABM	19.112348556518555
ALE	-3.763085603713989
ACN	17.788755893707272
AAP	-13.70476484298706
HES	8.169937133789062
ALB	-10.562604665756227
ALU	14.633822441101074
ACM	3.6530852317810063
ACL	8.171576261520388
AMG	-27.944725751876828
AGCO	0.6611645221710205
ANF	12.921762466430664
ACV	1.4340341091156006
ATI	-6.076598167419434
ALX	5.250602960586548
ANR	-69.30772662162782
ALM	36.12619638442993
AWP	4.581975936889648
ACC	0.11251568794250487
ALL	15.128672122955322
ABT	15.740609169006348
AYI	19.33346390724182
AXL	-49.54121112823486
AAN	-1.7060577869415283
ABB	-26.671898365020752
AMX	5.304080247879028
ALK	6.293034553527832
ACE	10.406100749969482
AEB	10.834050178527832
ASX	26.450687646865845
AIB	23.499560356140137
AEV	-15.507370233535767
AG	46.164870262145996
AFL	1.6500294208526611
ADS	-42.49939322471619
AHC	5.632889270782472
AB	-4.752486944198608
AED	-2.472144365310669
AES	0.996321439743042
APD	14.853811264038086
AER	2.736979722976685
Y	29.906046390533447
AEE	-1.4704108238220217
AA	-2.940434217453003
AEG	-7.166826725006104
ADC	0.08262395858764647
AEP	6.447535753250122
AIR	22.17685580253601
