Date	predicted_sell_prices	prices	returns
2019-01-02	NaN	174.1199951171875	0.0
2019-01-03	NaN	175.1199951171875	0.0
2019-01-04	NaN	173.00999450683594	0.0
2019-01-07	NaN	180.75	0.0
2019-01-08	NaN	189.75	0.0
2019-01-09	NaN	185.25999450683594	0.0
2019-01-10	NaN	188.89999389648438	0.0
2019-01-11	NaN	188.10000610351562	0.0
2019-01-14	NaN	187.8699951171875	0.0
2019-01-15	NaN	189.4499969482422	0.0
2019-01-16	NaN	189.52000427246094	0.0
2019-01-17	NaN	186.8300018310547	0.0
2019-01-18	NaN	189.72999572753906	0.0
2019-01-22	NaN	187.77999877929688	0.0
2019-01-23	NaN	187.52000427246094	0.0
2019-01-24	NaN	184.25	0.0
2019-01-25	NaN	187.61000061035156	0.0
2019-01-28	NaN	188.0500030517578	0.0
2019-01-29	NaN	188.17999267578125	0.0
2019-01-30	NaN	187.19000244140625	0.0
2019-01-31	NaN	211.36000061035156	0.0
2019-02-01	NaN	218.5800018310547	0.0
2019-02-04	NaN	220.8300018310547	0.0
2019-02-05	NaN	226.0	0.0
2019-02-06	NaN	228.0	0.0
2019-02-07	NaN	224.05999755859375	0.0
2019-02-08	NaN	225.39999389648438	0.0
2019-02-11	NaN	229.88999938964844	0.0
2019-02-12	NaN	230.61000061035156	0.0
2019-02-13	NaN	235.0	0.0
2019-02-14	233.1431884765625	231.44000244140625	1.508188247680664
2019-02-15	231.70730590820312	235.0	1.508188247680664
2019-02-19	233.86514282226562	233.49000549316406	2.1248936653137207
2019-02-20	233.2022247314453	235.0	2.1248936653137207
2019-02-21	234.2838897705078	228.7100067138672	2.7988314628601074
2019-02-22	230.3726043701172	230.32000732421875	2.7988314628601074
2019-02-25	230.43197631835938	237.5	2.7988314628601074
2019-02-26	235.0703887939453	235.83999633789062	2.7988314628601074
2019-02-27	235.61773681640625	235.8000030517578	2.7988314628601074
2019-02-28	235.99755859375	240.1699981689453	2.7988314628601074
2019-03-01	238.77626037597656	242.30999755859375	2.7988314628601074
2019-03-04	241.1411590576172	244.60000610351562	2.7988314628601074
2019-03-05	243.63111877441406	237.57000732421875	1.8764615058898926
2019-03-06	239.5169219970703	235.4499969482422	0.5383312702178955
2019-03-07	236.90219116210938	232.3699951171875	-0.8128345012664795
2019-03-08	233.6227264404297	229.3000030517578	1.8654048442840576
2019-03-11	230.70982360839844	235.50999450683594	1.8654048442840576
2019-03-12	234.0096435546875	240.14999389648438	1.8654048442840576
2019-03-13	238.15618896484375	240.55999755859375	1.8654048442840576
2019-03-14	239.95213317871094	244.0500030517578	1.8654048442840576
2019-03-15	242.9044952392578	241.3699951171875	2.3159921169281006
2019-03-18	241.8959197998047	242.52999877929688	2.3159921169281006
2019-03-19	242.48362731933594	242.25999450683594	2.591449022293091
2019-03-20	242.26565551757812	243.0	2.591449022293091
2019-03-21	242.87684631347656	243.72000122070312	2.591449022293091
2019-03-22	243.51881408691406	249.0	2.591449022293091
2019-03-25	247.37550354003906	238.7899932861328	5.178803205490112
2019-03-26	241.47422790527344	245.0399932861328	5.178803205490112
2019-03-27	244.1684112548828	244.82000732421875	5.178803205490112
2019-03-28	244.23330688476562	243.72999572753906	6.285303831100464
2019-03-29	244.04208374023438	246.5	6.285303831100464
2019-04-01	245.7515869140625	249.99000549316406	6.285303831100464
2019-04-02	248.64645385742188	245.75	7.5370848178863525
2019-04-03	246.74720764160156	248.89999389648438	7.5370848178863525
2019-04-04	248.42123413085938	246.35000610351562	4.377388954162598
2019-04-05	246.8701934814453	238.63999938964844	3.408735990524292
2019-04-08	241.39974975585938	236.39999389648438	2.8415143489837646
2019-04-09	238.03216552734375	235.1300048828125	5.09534478187561
2019-04-10	235.93505859375	240.5	5.09534478187561
2019-04-11	239.1333770751953	243.63999938964844	5.09534478187561
2019-04-12	242.3004608154297	247.0	5.09534478187561
2019-04-15	245.69029235839844	244.07000732421875	5.811029672622681
2019-04-16	244.7410430908203	245.88999938964844	5.811029672622681
2019-04-17	245.72866821289062	241.72000122070312	2.7527332305908203
2019-04-18	242.94224548339844	234.39999389648438	3.413856029510498
2019-04-22	237.29148864746094	236.02000427246094	6.447148323059082
2019-04-23	236.51791381835938	243.25	6.447148323059082
2019-04-24	241.02117919921875	245.0	6.447148323059082
2019-04-25	243.8863983154297	261.0199890136719	6.447148323059082
2019-04-26	255.910400390625	260.0	6.447148323059082
2019-04-29	258.5863952636719	267.1000061035156	6.447148323059082
2019-04-30	264.82257080078125	271.0	6.447148323059082
2019-05-01	268.82708740234375	273.1600036621094	6.447148323059082
2019-05-02	271.8703308105469	264.8599853515625	6.726741790771484
2019-05-03	267.06182861328125	265.67999267578125	4.74703311920166
2019-05-06	266.1783752441406	260.5	7.212233543395996
2019-05-07	261.9397888183594	267.0	7.212233543395996
2019-05-08	265.4251403808594	264.0	6.5572381019592285
2019-05-09	264.1375732421875	262.3500061035156	8.871424198150635
2019-05-10	262.9764709472656	268.5	8.871424198150635
2019-05-13	266.55657958984375	266.8800048828125	8.871424198150635
2019-05-14	266.6109619140625	263.2200012207031	11.417210102081299
2019-05-15	264.4237365722656	270.0	11.417210102081299
2019-05-16	268.3085021972656	275.0	11.417210102081299
2019-05-17	272.7529602050781	275.7099914550781	11.417210102081299
2019-05-20	275.01446533203125	266.9599914550781	12.417316436767578
2019-05-21	269.7209777832031	269.7099914550781	12.417316436767578
2019-05-22	269.9073181152344	270.07000732421875	12.417316436767578
2019-05-23	269.7552490234375	270.05999755859375	12.417316436767578
2019-05-24	270.0986022949219	266.75	13.26078176498413
