Date	predicted_sell_prices	prices	returns
2019-01-02	NaN	113.11000061035156	0.0
2019-01-03	NaN	114.19999694824219	0.0
2019-01-04	NaN	112.91999816894531	0.0
2019-01-07	NaN	117.79000091552734	0.0
2019-01-08	NaN	119.62999725341797	0.0
2019-01-09	NaN	125.5999984741211	0.0
2019-01-10	NaN	116.4000015258789	0.0
2019-01-11	NaN	121.22000122070312	0.0
2019-01-14	NaN	121.43000030517578	0.0
2019-01-15	NaN	121.2300033569336	0.0
2019-01-16	NaN	119.0999984741211	0.0
2019-01-17	NaN	116.58999633789062	0.0
2019-01-18	NaN	119.70999908447266	0.0
2019-01-22	NaN	119.55000305175781	0.0
2019-01-23	NaN	116.47000122070312	0.0
2019-01-24	NaN	115.20999908447266	0.0
2019-01-25	NaN	118.61000061035156	0.0
2019-01-28	NaN	117.47000122070312	0.0
2019-01-29	NaN	119.38999938964844	0.0
2019-01-30	NaN	119.73999786376953	0.0
2019-01-31	NaN	118.5199966430664	0.0
2019-02-01	NaN	121.1500015258789	0.0
2019-02-04	NaN	121.62999725341797	0.0
2019-02-05	NaN	122.2699966430664	0.0
2019-02-06	NaN	124.66000366210938	0.0
2019-02-07	NaN	125.95999908447266	0.0
2019-02-08	NaN	123.5999984741211	0.0
2019-02-11	NaN	126.0199966430664	0.0
2019-02-12	NaN	128.1199951171875	0.0
2019-02-13	NaN	134.2899932861328	0.0
2019-02-14	132.04931640625	131.52000427246094	-0.4709959030151367
2019-02-15	131.65855407714844	130.94000244140625	-0.9974122047424316
2019-02-19	131.30984497070312	130.2899932861328	-1.1578857898712158
2019-02-20	130.485107421875	130.1199951171875	-2.648073434829712
2019-02-21	130.18203735351562	128.22000122070312	-2.2101223468780518
2019-02-22	128.77098083496094	128.82000732421875	-2.2101223468780518
2019-02-25	128.80062866210938	131.47999572753906	-2.2101223468780518
2019-02-26	130.55894470214844	130.5	-1.3589084148406982
2019-02-27	130.50013732910156	131.64999389648438	-1.3589084148406982
2019-02-28	131.3790740966797	130.72000122070312	-0.7616221904754639
2019-03-01	130.89295959472656	131.5399932861328	-0.7616221904754639
2019-03-04	131.35890197753906	132.58999633789062	-0.7616221904754639
2019-03-05	132.1734619140625	132.33999633789062	-0.7616221904754639
2019-03-06	132.32408142089844	133.3800048828125	-0.7616221904754639
2019-03-07	133.15139770507812	131.38999938964844	-1.3167798519134521
2019-03-08	131.95535278320312	130.6999969482422	-2.6398181915283203
2019-03-11	131.1732177734375	129.00999450683594	-1.313340663909912
2019-03-12	129.6681365966797	130.75999450683594	-1.313340663909912
2019-03-13	130.4477081298828	131.6300048828125	-1.313340663909912
2019-03-14	131.2119903564453	131.86000061035156	-1.313340663909912
2019-03-15	131.72872924804688	131.6699981689453	-2.1559715270996094
2019-03-18	131.75942993164062	130.60000610351562	-1.7954707145690918
2019-03-19	131.00474548339844	131.11000061035156	-1.7954707145690918
2019-03-20	131.1259307861328	127.18000030517578	-5.112147331237793
2019-03-21	128.42532348632812	123.0	-5.4429590702056885
2019-03-22	124.82058715820312	122.62999725341797	-8.694028854370117
2019-03-25	123.32737731933594	118.68000030517578	-8.386993408203125
2019-03-26	120.12626647949219	119.08000183105469	-8.971244096755981
2019-03-27	119.56440734863281	118.41999816894531	-7.844346761703491
2019-03-28	118.77763366699219	119.79000091552734	-7.844346761703491
2019-03-29	119.611572265625	120.7300033569336	-7.844346761703491
2019-04-01	120.45181274414062	121.47000122070312	-7.844346761703491
2019-04-02	121.3042984008789	123.79000091552734	-7.844346761703491
2019-04-03	123.14781951904297	128.33999633789062	-7.844346761703491
2019-04-04	126.81311798095703	135.4600067138672	-7.844346761703491
2019-04-05	132.84725952148438	137.22000122070312	-7.844346761703491
2019-04-08	135.95556640625	138.66000366210938	-7.844346761703491
2019-04-09	138.0214080810547	138.99000549316406	-7.844346761703491
2019-04-10	138.67996215820312	139.77999877929688	-7.844346761703491
2019-04-11	139.3891143798828	140.0	-7.844346761703491
2019-04-12	139.7259063720703	141.63999938964844	-7.844346761703491
2019-04-15	140.9340362548828	143.47000122070312	-7.844346761703491
2019-04-16	142.54400634765625	144.5	-7.844346761703491
2019-04-17	143.78253173828125	142.11000061035156	-7.656210660934448
2019-04-18	142.55528259277344	142.4199981689453	-8.29707384109497
2019-04-22	142.3931427001953	141.5500030517578	-6.080532073974609
2019-04-23	141.62899780273438	144.72999572753906	-6.080532073974609
2019-04-24	143.68299865722656	146.4499969482422	-6.080532073974609
2019-04-25	145.4708251953125	144.8800048828125	-5.862057209014893
2019-04-26	145.14247131347656	145.24000549316406	-5.862057209014893
2019-04-29	145.2650146484375	146.33999633789062	-5.862057209014893
2019-04-30	145.94883728027344	146.19000244140625	-5.862057209014893
2019-05-01	146.11212158203125	146.47000122070312	-5.862057209014893
2019-05-02	146.39202880859375	144.3800048828125	-6.113696098327637
2019-05-03	145.00735473632812	144.05999755859375	-7.670831680297852
2019-05-06	144.4060821533203	141.86000061035156	-6.290996074676514
2019-05-07	142.64404296875	143.86000061035156	-6.290996074676514
2019-05-08	143.54139709472656	143.55999755859375	-6.290996074676514
2019-05-09	143.50100708007812	143.75	-6.290996074676514
2019-05-10	143.77206420898438	142.9199981689453	-7.839328050613403
2019-05-13	143.20547485351562	140.75	-9.354227781295776
2019-05-14	141.60079956054688	138.66000366210938	-11.273747682571411
2019-05-15	139.66224670410156	136.0399932861328	-10.090869665145874
2019-05-16	137.20980834960938	137.69000244140625	-10.090869665145874
2019-05-17	137.59506225585938	136.52999877929688	-12.171703577041626
2019-05-20	136.8853759765625	133.72999572753906	-10.616415739059448
2019-05-21	134.89820861816406	135.85000610351562	-10.616415739059448
2019-05-22	135.6614227294922	136.11000061035156	-10.616415739059448
2019-05-23	135.97027587890625	136.69000244140625	-10.616415739059448
2019-05-24	136.62847900390625	137.63999938964844	-10.616415739059448
2019-05-28	137.40223693847656	135.25999450683594	-11.245256662368774
2019-05-29	136.04383850097656	134.4499969482422	-12.82230019569397
2019-05-30	135.09756469726562	132.3699951171875	-18.442684412002563
2019-05-31	133.27011108398438	124.97000122070312	-19.52093243598938
2019-06-03	127.6910400390625	123.66000366210938	-16.639727354049683
2019-06-04	125.04960632324219	127.26000213623047	-16.639727354049683
2019-06-05	126.47602844238281	131.89999389648438	-16.639727354049683
2019-06-06	130.22816467285156	133.3699951171875	-16.639727354049683
2019-06-07	132.55897521972656	131.99000549316406	-17.177337408065796
2019-06-10	132.37222290039062	131.32000732421875	-14.298421144485474
2019-06-11	131.75238037109375	135.13999938964844	-14.298421144485474
2019-06-12	134.10841369628906	133.10000610351562	-13.321667909622192
2019-06-13	133.43035888671875	134.44000244140625	-13.321667909622192
2019-06-14	134.3215789794922	134.8800048828125	-13.321667909622192
2019-06-17	134.69992065429688	133.27000427246094	-12.953990697860718
2019-06-18	133.80075073242188	133.8000030517578	-12.953990697860718
2019-06-19	133.86810302734375	134.88999938964844	-12.953990697860718
2019-06-20	134.53663635253906	135.2100067138672	-12.953990697860718
2019-06-21	134.95779418945312	134.0	-12.230271100997925
2019-06-24	134.2871856689453	135.00999450683594	-12.230271100997925
2019-06-25	134.7982940673828	135.4499969482422	-12.230271100997925
2019-06-26	135.232421875	134.3000030517578	-11.567801237106323
2019-06-27	134.65521240234375	135.22999572753906	-11.567801237106323
2019-06-28	135.08860778808594	134.60000610351562	-7.652789354324341
2019-07-01	134.7252960205078	139.91000366210938	-7.652789354324341
2019-07-02	138.35955810546875	127.91999816894531	-6.048959493637085
2019-07-03	131.16111755371094	130.00999450683594	-3.1561076641082764
2019-07-05	130.6868896484375	133.80999755859375	-3.1561076641082764
2019-07-08	132.51031494140625	129.8300018310547	-2.5699198246002197
2019-07-09	130.75950622558594	130.6300048828125	-2.538686990737915
2019-07-10	130.88050842285156	130.7100067138672	-4.527229070663452
2019-07-11	130.7086181640625	128.14999389648438	-4.12023663520813
2019-07-12	129.0575714111328	128.7100067138672	-2.1923601627349854
2019-07-15	128.91432189941406	131.22999572753906	-2.1923601627349854
2019-07-16	130.5039825439453	133.00999450683594	-2.1923601627349854
2019-07-17	132.29835510253906	132.8800048828125	-2.1923601627349854
2019-07-18	132.81692504882812	131.2899932861328	-2.108103036880493
2019-07-19	131.88970947265625	131.44000244140625	-2.084857225418091
2019-07-22	131.65049743652344	131.50999450683594	-1.7498672008514404
2019-07-23	131.61602783203125	131.99000549316406	-1.7498672008514404
2019-07-24	131.86257934570312	133.14999389648438	-1.7498672008514404
2019-07-25	132.7729949951172	134.83999633789062	-1.7498672008514404
2019-07-26	134.2519989013672	134.10000610351562	-1.03415846824646
2019-07-29	134.17300415039062	135.10000610351562	-1.03415846824646
2019-07-30	134.8809051513672	134.02999877929688	0.8757054805755615
2019-07-31	134.2790985107422	136.6300048828125	0.8757054805755615
2019-08-01	135.91566467285156	134.41000366210938	-1.7061948776245117
2019-08-02	134.82432556152344	130.97999572753906	-3.9197325706481934
2019-08-05	132.31100463867188	128.1199951171875	-3.6609411239624023
2019-08-06	129.44834899902344	128.49000549316406	-3.418552875518799
2019-08-07	128.7708282470703	128.83999633789062	-3.418552875518799
2019-08-08	128.7821502685547	131.36000061035156	-3.418552875518799
2019-08-09	130.615478515625	131.32000732421875	-3.418552875518799
2019-08-12	131.13951110839844	128.17999267578125	-5.414527654647827
2019-08-13	129.2418975830078	125.66000366210938	-5.2774131298065186
2019-08-14	126.88378143310547	125.87000274658203	-7.0234715938568115
2019-08-15	126.21288299560547	123.70999908447266	-7.974982261657715
2019-08-16	124.51832580566406	122.56999969482422	-5.08420467376709
2019-08-19	123.32664489746094	126.1500015258789	-5.08420467376709
2019-08-20	125.31672668457031	124.69000244140625	-4.9858927726745605
